fecha,ipc_anual,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,mes,ir_magnitud,ir_signo,distancia_meta_ipc_pp,distancia_referencia_nairu_pp
2024-01-01,3.8,2.78078887468969,R,8.504256718562635,Dic - Feb,2024-01-01,2024-02-01,2024-01,2.78078887468969,Aumento,0.7999999999999998,0.254256718562635
2024-02-01,4.5,2.23640973297083,R,8.677777996608596,Ene - Mar,2024-02-01,2024-03-01,2024-02,2.23640973297083,Aumento,1.5,0.4277779966085955
2024-03-01,3.7,2.43217564224378,R,8.523783714547358,Feb - Abr,2024-03-01,2024-04-01,2024-03,2.43217564224378,Aumento,0.7000000000000002,0.27378371454735806
2024-04-01,4.0,2.3341839881748,R,8.312880423168561,Mar - May,2024-04-01,2024-05-01,2024-04,2.3341839881748,Aumento,1.0,0.06288042316856135
2024-05-01,4.1,1.96673386003829,R,8.348178035965551,Abr - Jun,2024-05-01,2024-06-01,2024-05,1.96673386003829,Aumento,1.0999999999999996,0.0981780359655513
2024-06-01,4.2,2.43679591700265,R,8.684175780749143,May - Jul,2024-06-01,2024-07-01,2024-06,2.43679591700265,Aumento,1.2000000000000002,0.4341757807491433
2024-07-01,4.6,3.28367351460379,R,8.9013222957233,Jun - Ago,2024-07-01,2024-08-01,2024-07,3.28367351460379,Aumento,1.5999999999999996,0.6513222957233005
2024-08-01,4.7,3.63732403562826,R,8.742314911459385,Jul - Sep,2024-08-01,2024-09-01,2024-08,3.63732403562826,Aumento,1.7000000000000002,0.4923149114593848
2024-09-01,4.1,3.73703219075909,R,8.580079873487897,Ago - Oct,2024-09-01,2024-10-01,2024-09,3.73703219075909,Aumento,1.0999999999999996,0.3300798734878967
2024-10-01,4.7,3.02364039143637,R,8.217649356192904,Sep - Nov,2024-10-01,2024-11-01,2024-10,3.02364039143637,Aumento,1.7000000000000002,-0.032350643807095736
2024-11-01,4.2,3.62712265799257,R,8.079730080387021,Oct - Dic,2024-11-01,2024-12-01,2024-11,3.62712265799257,Aumento,1.2000000000000002,-0.17026991961297888
2024-12-01,4.5,3.17659076320327,R,8.023005508200065,Nov - Ene,2024-12-01,2025-01-01,2024-12,3.17659076320327,Aumento,1.5,-0.22699449179993536
2025-01-01,4.9,3.17778943882874,R,8.382215393986856,Dic - Feb,2025-01-01,2025-02-01,2025-01,3.17778943882874,Aumento,1.9000000000000004,0.132215393986856
2025-02-01,4.7,3.5306427773691,R,8.708948587387136,Ene - Mar,2025-02-01,2025-03-01,2025-02,3.5306427773691,Aumento,1.7000000000000002,0.45894858738713573
2025-03-01,4.9,3.22907453282968,R,8.841098009271827,Feb - Abr,2025-03-01,2025-04-01,2025-03,3.22907453282968,Aumento,1.9000000000000004,0.5910980092718265
2025-04-01,4.5,3.47997082194873,R,8.943013686865314,Mar - May,2025-04-01,2025-05-01,2025-04,3.47997082194873,Aumento,1.5,0.6930136868653136
2025-05-01,4.4,3.45509289110657,R,8.89266058484404,Abr - Jun,2025-05-01,2025-06-01,2025-05,3.45509289110657,Aumento,1.4000000000000004,0.6426605848440392
2025-06-01,4.1,3.26269063235456,R,8.698979281642547,May - Jul,2025-06-01,2025-07-01,2025-06,3.26269063235456,Aumento,1.0999999999999996,0.4489792816425471
2025-07-01,4.3,1.99019183372526,R,8.561128724746938,Jun - Ago,2025-07-01,2025-08-01,2025-07,1.99019183372526,Aumento,1.2999999999999998,0.3111287247469381
2025-08-01,4.0,2.02207820426905,R,8.52894926881148,Jul - Sep,2025-08-01,2025-09-01,2025-08,2.02207820426905,Aumento,1.0,0.2789492688114805
2025-09-01,4.4,1.4028401544949,R,8.447661942887247,Ago - Oct,2025-09-01,2025-10-01,2025-09,1.4028401544949,Aumento,1.4000000000000004,0.19766194288724748
2025-10-01,3.4,2.41676930757391,R,8.424343508644544,Sep - Nov,2025-10-01,2025-11-01,2025-10,2.41676930757391,Aumento,0.3999999999999999,0.17434350864454373
2025-11-01,3.4,2.47566401743189,R,8.049513652087008,Oct - Dic,2025-11-01,2025-12-01,2025-11,2.47566401743189,Aumento,0.3999999999999999,-0.20048634791299236
2025-12-01,3.5,2.52201064220934,R,8.284909637287434,Nov - Ene,2025-12-01,2026-01-01,2025-12,2.52201064220934,Aumento,0.5,0.034909637287434236
2026-01-01,2.8,2.07710789905211,R,8.330128389445452,Dic - Feb,2026-01-01,2026-02-01,2026-01,2.07710789905211,Aumento,-0.20000000000000018,0.08012838944545209
2026-02-01,2.4,2.56567951538802,R,8.930241108725188,Ene - Mar,2026-02-01,2026-03-01,2026-02,2.56567951538802,Aumento,-0.6000000000000001,0.6802411087251876
2026-03-01,2.8,2.26126489096798,R,9.108728899994968,Feb - Abr,2026-03-01,2026-04-01,2026-03,2.26126489096798,Aumento,-0.20000000000000018,0.8587288999949685
2026-04-01,4.0,1.63900805213708,R,9.43782135358754,Mar - May,2026-04-01,2026-05-01,2026-04,1.63900805213708,Aumento,1.0,1.1878213535875393
2026-05-01,3.9,3.28587518788173,R,9.440584798173507,Abr - Jun,2026-05-01,2026-06-01,2026-05,3.28587518788173,Aumento,0.8999999999999999,1.1905847981735072
2026-06-01,4.3,3.26818917751044,R,9.529266545008824,May - Jul,2026-06-01,2026-07-01,2026-06,3.26818917751044,Aumento,1.2999999999999998,1.2792665450088236
